institution,country,country_code
Cambridge Education Group Digital,United Kingdom,UK
Cambridge Education Group,United Kingdom,UK
Cambridge Academy of Dental Implantology,United Kingdom, UK
Creighton University,United States,US
Cuesta College,United States,US
Curtin University,Australia,AU
Cypress College,United States,US
Dalarna University,Sweden,SE
Dartmouth College,United States,US
Davis School District,United States,US
Davis Technical College,United States,US
De Anza College,United States,US
De La Salle Lipa,Philippines,PH
De La Salle Medical and Health Sciences Institute,Philippines,PH
De La Salle Santiago Zobel School,Philippines,PH
De La Salle University,Philippines,PH
De Montfort University Leicester,United Kingdom,GB
DeKalb County School District,United States,US
DeVry University,United States,US
Deer Valley USD,United States,US
Del Mar College,United States,US
Department of Education Victoria,Australia,AU
Department of Education WA,Australia,AU
Des Moines Area Community College,United States,US
Dominican University,United States,US
Douglas County School District,United States,US
Drew University,United States,US
Duke University School of Medicine,United States,US
Duke University,United States,US
Duquesne University,United States,US
Durham Tech,United States,US
ESMT European School of Management and Technology,Germany,DE
ESPM,Brazil,BR
East Carolina University,United States,US
Eastern Arizona College,United States,US
Eastern Florida State College,United States,US
Eastern Kentucky University,United States,US
Eastern Michigan University,United States,US
Eastern Washington University,United States,US
Eau Claire Area School District,United States,US
Edith Cowan University,Australia,AU
Edmonds College,United States,US
Eindhoven University of Technology,Netherlands,NL
El Camino College,United States,US
Elon University,United States,US
Embry-Riddle,United States,US
Emerson College,United States,US
Emory University,United States,US
Endicott College,United States,US
Erasmushogeschool Brussel,Belgium,BE
Escola Superior de Propaganda e Marketing - ESPM,Brazil,BR
Escuela Bancaria y Comercial,Mexico,MX
European University Institute,Italy,IT
Everett Community College,United States,US
FAAP - Fundação Armando Alvares Penteado,Brazil,BR
Far Eastern University - Pampanga,Philippines,PH
Far Eastern University - Roosevelt,Philippines,PH
Far Eastern University PH,Philippines,PH
Far Eastern University,Philippines,PH
Flatiron School,United States,US
Flinders University,Australia,AU
Florida Gulf Coast University,United States,US
Florida Institute of Technology,United States,US
Florida International University,United States,US
Florida SouthWestern State College,United States,US
Florida State College at Jacksonville,United States,US
Florida State University,United States,US
Fontys Hogeschool,Netherlands,NL
Foothill College,United States,US
Fordham University,United States,US
Framingham State University,United States,US
Frankfurt School,Germany,DE
Fullerton College,United States,US
Fulton County IC,United States,US
Galen College of Nursing,United States,US
Gardner-Webb University,United States,US
Garland ISD,United States,US
Gaston County Schools,United States,US
George Mason University,United States,US
George Washington University,United States,US
Georgetown,United States,US
Georgia Institute of Technology,United States,US
Georgia State University,United States,US
Georgia Tech,United States,US
Glendale Community College,United States,US
Global Online Academy,United States,US
Gonzaga University,United States,US
Grand Valley State University,United States,US
Green River College,United States,US
Griffith University,Australia,AU
Grossmont-Cuyamaca Community College District,United States,US
Grupo SEB,Brazil,BR
Guilford County Schools,United States,US
Guilford Technical Community College,United States,US
Gustavus Adolphus College,United States,US
Göteborgs universitet,Sweden,SE
HEC Lausanne,Switzerland,CH
HEC Montréal,Canada,CA
HKU University of the Arts Utrecht,Hong Kong,HK
Hamad Bin Khalifa University,Qatar,QA
Harvard Business School,United States,US
Harvard University,United States,US
Hawaii Department of Education,United States,US
Hawkeye Community College,United States,US
Henderson State University,United States,US
Henley Business School (University of Reading),United Kingdom,GB
Heriot-Watt University,United Kingdom,GB
Highline College,United States,US
Highline Public Schools,United States,US
Hillsborough Community College,United States,US
Hillsborough Schools,United States,US
Hinds Community College,United States,US
Hochschule Luzern,Switzerland,CH
Hogeschool Rotterdam,Netherlands,NL
Hogeschool Utrecht,Netherlands,NL
Holy Angel University,Philippines,PH
Hong Kong Academy for Performing Arts,Hong Kong,HK
Hong Kong Academy of Medicine,Hong Kong,HK
Hosei University,Japan,JP
Hospital Israelita Albert Einstein,Brazil,BR
Hospital Sírio-Libanês,Brazil,BR
Houston City College,United States,US
Howard County Public Schools,United States,US
Howard University,United States,US
Howest,Belgium,BE
Hult International Business School,United States,US
Humber College,Canada,CA
Hurst-Euless-Bedford ISD,United States,US
Hutchinson Community College,United States,US
Högskolan Väst,Sweden,SE
Høgskolen i Innlandet,Norway,NO
Høgskolen i Molde,Norway,NO
Høgskolen i Østfold,Norway,NO
Høgskolen på Vestlandet,Norway,NO
ICPNA,Peru,PE
ITESO,Mexico,MX
Idaho State University,United States,US
Ikon Institute of Australia,Australia,AU
Illinois State University,United States,US
Illinois Tech,United States,US
Imperial College London,United Kingdom,GB
Imperial Valley College,United States,US
Indian River State College,United States,US
Indiana State University,United States,US
Indiana University,United States,US
Indiana Wesleyan University,United States,US
Insper,Brazil,BR
Inspired Education Group,United Kingdom,GB
Instituto Profesional IPP,Chile,CL
Instituto Tecnológico Autónomo de México (ITAM),Mexico,MX
Iowa City Schools,United States,US
Iowa State University,United States,US
Iowa Western Community College,United States,US
Jackson State University,United States,US
Jacksonville State University,United States,US
James Madison University,United States,US
John Carroll University,United States,US
Johns Hopkins University,United States,US
Johnson County Community College,United States,US
Johnston County Public Schools,United States,US
Jordan School District,United States,US
Jose Rizal University,Philippines,PH
Jönköping University,Sweden,SE
KTH Royal Institute of Technology,Sweden,SE
Kansas City Public Schools,United States,US
Kansas State University,United States,US
Karel de Grote Hogeschool,Belgium,BE
Karlstads universitet,Sweden,SE
Karolinska Institutet,Sweden,SE
Kean University,United States,US
Keele University,United Kingdom,GB
Keene State College,United States,US
Keller ISD,United States,US
Kent State University,United States,US
Kern Community College District,United States,US
Kern High School District,United States,US
Kingston University,United Kingdom,GB
Kristiania,Norway,NO
Kyungshin Lear,Japan,JP
LCTCS,United States,US
LDS Seminaries and Institutes,United States,US
LUISS,Italy,IT
Lackawanna College,United States,US
Lake Country Christian School,United States,US
Lake-Sumter State College,United States,US
Lamar CISD,United States,US
Laredo College,United States,US
Laurea UAS,Finland,FI
Leeds Beckett University,United Kingdom,GB
Leeds College of Building,United Kingdom,GB
Lehigh Carbon Community College,United States,US
Lehigh University,United States,US
Lewis-Clark State College,United States,US
Lewisville ISD,United States,US
Liberty University,United States,US
Lincoln Land Community College,United States,US
Lincoln University of Pennsylvania,United States,US
Lindenwood University,United States,US
Lingnan University,Hong Kong,HK
Linköping University,Sweden,SE
Lipscomb University,United States,US
London Business School,United Kingdom,GB
London South East Colleges,United Kingdom,GB
Long Beach City College,United States,US
Long Island University,United States,US
Longwood University,United States,US
Lorain County Community College,United States,US
Los Angeles Community College District,United States,US
Los Rios Community College District,United States,US
Louisiana Christian University,United States,US
Louisiana State University,United States,US
Louisiana Tech University,United States,US
Lovisenberg diakonale høgskole,Norway,NO
Lower Columbia College,United States,US
Loyalist College,Canada,CA
Loyola University Maryland,United States,US
Loyola University New Orleans,United States,US
Luleå tekniska universitet,Sweden,SE
Lund University,Sweden,SE
Luther Preparatory School,United States,US
Luxembourg School of Business,Luxembourg,LU
Lyceum of The Philippines Davao,Philippines,PH
MIU City University Miami,United States,US
Maastricht University,Netherlands,NL
MacEwan University,Canada,CA
Macalester College,United States,US
Mackenzie,Brazil,BR
Macomb Community College,United States,US
Mahidol University,Thailand,TH
Malmö universitet,Sweden,SE
Manchester University,United States,US
Manuel S. Enverga University Foundation,Philippines,PH
Maqsut Narikbayev University,Kazakhstan,KZ
Marian University,United States,US
Marietta College,United States,US
Marion County Public Schools (FL),United States,US
Marquette University,United States,US
Mars Hill University,United States,US
Maryland State Department of Education,United States,US
Maryville College,United States,US
Maryville University,United States,US
Massachusetts College of Liberal Arts,United States,US
Massachusetts Institute of Technology,United States,US
Massasoit Community College,United States,US
McKendree University,United States,US
McMurry University,United States,US
McNeese State University,United States,US
Meharry Medical College,United States,US
Melbourne Archdiocese Catholic Schools,Australia,AU
Merced College,United States,US
Mercer University,United States,US
Mercy College of Health Sciences,United States,US
Mercyhurst University,United States,US
Merrimack College,United States,US
Messiah University,United States,US
Metropolitan Community College - Kansas City,United States,US
Metropolitan Community College,United States,US
Metropolitan State University of Denver,United States,US
Miami Dade College,United States,US
Miami University,United States,US
Michigan Technological University,United States,US
Mid Sweden University,Sweden,SE
Middle Georgia Regional Educational Service Agency,United States,US
Middle Tennessee State University,United States,US
Middlebury,United States,US
Middlesex College,United Kingdom,GB
Midland College,United States,US
Midwestern University,United States,US
Milligan University,United States,US
Mills College,United States,US
Milwaukee School of Engineering,United States,US
MiraCosta College,United States,US
Mississippi State University,United States,US
Missouri Baptist University,United States,US
Mizzou Academy,United States,US
Mohawk College,Canada,CA
Molloy University,United States,US
Monash University,Australia,AU
Monmouth University,United States,US
Montclair State University Catalog,United States,US
Montclair State University,United States,US
Monterey Peninsula College,United States,US
Montgomery County Community College,United States,US
Montgomery County Public Schools,United States,US
Montreat College,United States,US
Moraine Valley Community College,United States,US
Morehead State University,United States,US
Morehouse College,United States,US
Morgan State University,United States,US
Moriah School,Kenya,KE
Mount Aloysius College,United States,US
Mount Holyoke College,United States,US
Mount Mary University,United States,US
Mount St. Joseph University,United States,US
Mt. San Antonio College,United States,US
Mt. San Jacinto College,United States,US
Munster Technological University,Ireland,IE
Murray State University,United States,US
Murrieta Valley Unified,United States,US
Mälardalens universitet,Sweden,SE
NSW Education Standards Authority (NESA),Australia,AU
NTNU,Norway,NO
NTUC LearningHub,Singapore,SG
Nanyang Technological University,Singapore,SG
National University of Singapore (NUS),Singapore,SG
New Mexico State University,United States,US
New York Institute of Technology,United States,US
Newcastle University,United Kingdom,GB
Newton Paiva,Brazil,BR
Nihon University,Japan,JP
Nord universitet,Norway,NO
Norges Handelshøyskole,Norway,NO
Norges miljø- og biovitenskapelige universitet,Norway,NO
North Carolina Central University,United States,US
North Carolina Public Schools (NCDPI),United States,US
North Idaho College,United States,US
North Park University,United States,US
North South University,Bangladesh,BD
Northeast Wisconsin Technical College,United States,US
Northeastern University - Skillstack,United States,US
Northeastern University,United States,US
Northern Arizona University,United States,US
Northern Kentucky University,United States,US
Northwestern University,United States,US
Nova Southeastern University,United States,US
Nyenrode Business Universiteit,Netherlands,NL
OCAD University,Canada,CA
Ohio University,United States,US
Ohlone College,United States,US
Oklahoma State University,United States,US
Old Dominion University (ODU),United States,US
OntarioTech University,Canada,CA
Oregon Institute of Technology,United States,US
OsloMet - storbyuniversitetet,Norway,NO
Our Lady of Fatima University,Philippines,PH
PUC Minas,Brazil,BR
Palm Beach Atlantic University,United States,US
Palm Beach County Schools,United States,US
Park University,United States,US
Pasadena City College,United States,US
Pasco County Schools,United States,US
Pasco-Hernando State College,United States,US
Penn State,United States,US
Peoria Unified School District,United States,US
Peralta Community College District,United States,US
Pinellas County Schools,United States,US
Plymouth-Canton Community Schools,United States,US
Politécnico Grancolombiano,Colombia,CO
Pontificia Universidad Catolica de Chile,Chile,CL
Pontificia Universidad Católica de Chile,Chile,CL
Pontificia Universidad Católica del Perú,Peru,PE
Portland State University,United States,US
Poway Unified School District,United States,US
Pratt Institute,United States,US
Prince George's County Public Schools,United States,US
Prince William County Public Schools,United States,US
Princeton University,United States,US
Providence School District,United States,US
Provo School District,United States,US
QLD DoE - Primary Canvas Instance,Australia,AU
QLD DoE - School Canvas Instance 01,Australia,AU
QLD DoE - School Canvas Instance 02,Australia,AU
QLD DoE - School Canvas Instance 03,Australia,AU
QLD DoE - School Canvas Instance 04,Australia,AU
QLD DoE - School Canvas Instance 05,Australia,AU
QLD DoE - School Canvas Instance 06,Australia,AU
QLD DoE - School Canvas Instance 07,Australia,AU
QLD DoE - School Canvas Instance 08,Australia,AU
QLD DoE - School Canvas Instance 09,Australia,AU
QLD DoE - School Canvas Instance 10,Australia,AU
QUT [UAT],Australia,AU
QUT,Australia,AU
Queen's University Belfast,United Kingdom,GB
Ramon Magsaysay Memorial Colleges Gensan,Philippines,PH
Rancho Santiago Community College District,United States,US
Renton School District,United States,US
Reykjavik University,Iceland,IS
Rider University,United States,US
Rio Hondo,United States,US
Riverside Community College District,United States,US
Royal Melbourne Institute of Technology,Australia,AU
Rutgers University,United States,US
SUSS,Singapore,SG
Saddleback College,United States,US
Said Business School,United Kingdom,GB
Saint Louis University - Main Campus,United States,US
Samford University,United States,US
San Bernardino Community College District,United States,US
San Diego Community College District,United States,US
San Diego State University,United States,US
San Francisco State University,United States,US
San Joaquin Delta College,United States,US
San Jose / Evergreen Community College District,United States,US
San Juan College,United States,US
San Marcos University,Peru,PE
San Mateo County Community College District,United States,US
Santa Barbara City College,United States,US
Santa Fe College,United States,US
Santa Monica College,United States,US
Santa Rosa Junior College,United States,US
Seattle Colleges,United States,US
Seattle Pacific University,United States,US
Seattle University PCE,United States,US
Seattle University,United States,US
Seminole County Public Schools,United States,US
Seminole State College,United States,US
Shelby County Schools,United States,US
Sierra College,United States,US
Siglo 21,Argentina,AR
Simon Fraser University,Canada,CA
Singapore College of Insurance,Singapore,SG
Sioux Falls School District,United States,US
Southern University and A&M College,United States,US
Southwestern College,United States,US
St. Louis Community College,United States,US
Stanford University,United States,US
State Center Community College District,United States,US
Stockholm University,Sweden,SE
Swansea University,United Kingdom,GB
Swedish Defence University,Sweden,SE
Swinburne University,Australia,AU
Sydney Catholic Schools,Australia,AU
TECSUP,Peru,PE
Tallahassee State College,United States,US
Tarrant County College District,United States,US
TasTAFE,Australia,AU
Te Herenga Waka - Victoria University of Wellington [DEV],New Zealand,NZ
Te Herenga Waka - Victoria University of Wellington,New Zealand,NZ
Technological Institute of the Philippines,Philippines,PH
Tecmilenio,Mexico,MX
Temple University,United States,US
Texas A&M University,United States,US
Texas Education Agency,United States,US
Texas State Technical College,United States,US
Texas Tech University,United States,US
The Hong Kong Polytechnic University,Hong Kong,HK
The Hong Kong University of Science and Technology,Hong Kong,HK
The New School,United States,US
The Ohio State University,United States,US
The University of Adelaide,Australia,AU
The University of Alabama at Birmingham,United States,US
The University of Arizona Global Campus,United States,US
The University of Auckland,New Zealand,NZ
The University of British Columbia,Canada,CA
The University of Kansas,United States,US
The University of Liverpool,United Kingdom,GB
The University of Newcastle,Australia,AU
The University of Southern Mississippi,United States,US
The University of Tampa,United States,US
The University of Texas at Arlington,United States,US
The University of Texas at Dallas,United States,US
The University of Texas at San Antonio,United States,US
Tilburg University,Netherlands,NL
Toowoomba Catholic Schools,Australia,AU
Torrens University,Australia,AU
Troy University,United States,US
Truckee Meadows Community College,United States,US
Tucson Unified School District,United States,US
Tufts University,United States,US
Tyler Junior College New Site,United States,US
Tyler Junior College,United States,US
UBC CPE,Canada,CA
UC Berkeley,United States,US
UC Davis,United States,US
UC San Diego Extended Studies,United States,US
UCLA Extension,United States,US
UNASP,Brazil,BR
UNIP - Universidade Paulista,Brazil,BR
UPenn,United States,US
UWSA Wisconsin,United States,US
UiT The Arctic University of Norway,Norway,NO
Ulster University,United Kingdom,GB
Umeå University,Sweden,SE
Union County Public Schools,United States,US
Universidad Andrés Bello,Chile,CL
Universidad Anáhuac,Mexico,MX
Universidad Autónoma de Bucaramanga,Colombia,CO
Universidad Autónoma de Chile,Chile,CL
Universidad Francisco de Vitoria,Spain,ES
Universidad Iberoamericana,Mexico,MX
Universidad Internacional de La Rioja,Spain,ES
Universidad Mariano Gálvez de Guatemala,Guatemala,GT
Universidad San Marcos,Peru,PE
Universidad de Monterrey - UDEM,Mexico,MX
Universidad de Piura,Peru,PE
Universidad del Desarrollo,Chile,CL
Universidad del Valle de Guatemala,Guatemala,GT
Universidade Luterana do Brasil - ULBRA,Brazil,BR
Universidade Veiga de Almeida,Brazil,BR
Universitat Oberta de Catalunya,Spain,ES
Universitetet i Agder,Norway,NO
University College Cork,Ireland,IE
University Of Saskatchewan,Canada,CA
University of Adelaide,Australia,AU
University of Alaska,United States,US
University of Alberta,Canada,CA
University of Amsterdam,Netherlands,NL
University of Birmingham,United Kingdom,GB
University of Bradford,United Kingdom,GB
University of California - Irvine,United States,US
University of California Los Angeles,United States,US
University of California Riverside,United States,US
University of California San Diego,United States,US
University of Canberra,Australia,AU
University of Cebu,Philippines,PH
University of Central Florida,United States,US
University of Chicago,United States,US
University of Cincinnati,United States,US
University of Colorado Boulder,United States,US
University of Colorado at Denver,United States,US
University of Copenhagen,Denmark,DK
University of Dayton,United States,US
University of Delaware,United States,US
University of Denver,United States,US
University of Florida,United States,US
University of Galway,Ireland,IE
University of Hertfordshire,United Kingdom,GB
University of Houston,United States,US
University of Houston-Downtown,United States,US
University of Hull,United Kingdom,GB
University of Idaho,United States,US
University of Illinois at Urbana-Champaign,United States,US
University of Iowa,United States,US
University of Lagos,Nigeria,NG
University of Liverpool,United Kingdom,GB
University of Ljubljana School of Economics and Business,Slovenia,SI
University of Manchester,United Kingdom,GB
University of Manchester: CPPE,United Kingdom,GB
University of Mary Washington,United States,US
University of Maryland,United States,US
University of Massachusetts Amherst,United States,US
University of Massachusetts Lowell,United States,US
University of Melbourne [UAT Instance],Australia,AU
University of Melbourne,Australia,AU
University of Memphis,United States,US
University of Michigan - Ann Arbor,United States,US
University of Minnesota,United States,US
University of Missouri System,United States,US
University of Missouri-Columbia,United States,US
University of Missouri-St. Louis,United States,US
University of Mount Saint Vincent,United States,US
University of Nebraska - Lincoln,United States,US
University of Nebraska - Omaha,United States,US
University of Nebraska System,United States,US
University of Nevada Reno,United States,US
University of Nevada-Las Vegas,United States,US
University of New Mexico,United States,US
University of New Orleans,United States,US
University of Newcastle,Australia,AU
University of North Carolina - Chapel Hill,United States,US
University of North Florida,United States,US
University of North Texas,United States,US
University of Northern Colorado,United States,US
University of Oklahoma,United States,US
University of Oregon,United States,US
University of Oslo,Norway,NO
University of Otago,New Zealand,NZ
University of Oxford,United Kingdom,GB
University of Perpetual Help System DALTA,Philippines,PH
University of Pittsburgh,United States,US
University of Queensland (QUT),Australia,AU
University of San Carlos,Philippines,PH
University of San Diego,United States,US
University of Santo Tomas,Philippines,PH
University of South Alabama,United States,US
University of South Florida,United States,US
University of South-Eastern Norway,Norway,NO
University of St Thomas,United States,US
University of St. La Salle,Philippines,PH
University of Stavanger,Norway,NO
University of Stirling,United Kingdom,GB
University of Sunderland,United Kingdom,GB
University of Sussex,United Kingdom,GB
University of Sydney,Australia,AU
University of Tennessee Knoxville,United States,US
University of Toronto,Canada,CA
University of Utah,United States,US
University of Virginia,United States,US
University of Washington,United States,US
University of Winchester,United Kingdom,GB
University of Wisconsin Continuing Education,United States,US
University of Wollongong,Australia,AU
University of Wolverhampton,United Kingdom,GB
University of Wyoming,United States,US
University of the Cordilleras,Philippines,PH
University of the East,Philippines,PH
University of the Pacific,United States,US
University of the Witwatersrand,South Africa,ZA
Universität St.Gallen,Switzerland,CH
Uppsala University,Sweden,SE
Utah Education Network,United States,US
Utah Valley University,United States,US
VID vitenskapelige høgskole,Norway,NO
Valencia College,United States,US
Ventura County Community College District,United States,US
Virginia Beach City Public Schools,United States,US
Virginia Commonwealth University,United States,US
Virginia Tech,United States,US
Virginia's Community Colleges,United States,US
Volusia County Schools,United States,US
Vrije Universiteit Amsterdam - Acceptance,Netherlands,NL
Vrije Universiteit Amsterdam,Netherlands,NL
Vrije Universiteit Brussel,Belgium,BE
WU Wien,Austria,AT
Wake County Schools,United States,US
Walden University,United States,US
Washtenaw Community College,United States,US
Wayne State University,United States,US
Weber State University,United States,US
Webster University,United States,US
West Coast University,United States,US
West Shore Community College,United States,US
West Valley Mission Community College District,United States,US
Western Carolina University,United States,US
Western Washington University,United States,US
Wiley Higher ED,United States,US
Wine & Spirit Education Trust,United Kingdom,GB
Worcester Polytechnic Institute,United States,US
Yavapai College,United States,US
Yosemite Community College District,United States,US
eCornell,United States,US
